Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
LVJ1000+3032,19.80,10.0,Ir,N,18.1,7.11,6.02,6.68,-3.53,-3.05
MCG-01-26-009,18.00,10.0,Ir,N,16.1,7.85,8.21,7.71,-2.31,-2.32
KKSG17,18.40,10.0,Ir,N,15.4,8.19,8.36,7.74,-3.09,-2.40
UGCA193,16.60,7.0,,,14.7,8.54,9.59,8.58,-1.84,-1.42
NGC3109,12.00,8.0,,,10.4,8.58,9.37,8.38,-1.76,-1.37
NGC3077,14.20,9.0,dEem,N,10.6,9.57,9.34,8.80,-1.06,-1.48
ESO499-038,16.80,10.0,Ir,N,15.7,8.27,8.67,8.53,,-1.54
NGC3104,14.60,8.0,,,14.0,9.23,9.73,9.04,-0.77,-0.53
Antlia,17.10,10.0,Tr,L,16.2,6.5,6.06,5.95,,-3.52
BK5N,23.80,-3.0,Sph,L,17.5,7.18,,,-5.13,-5.40
UGC05427,16.40,8.0,,,14.9,8.54,8.95,7.87,-1.92,-1.59
UGC05423,17.20,10.0,Ir,N,14.4,8.42,8.19,7.86,-1.85,-1.95
KDG065,23.20,-3.0,Sph,L,16.4,8.39,,,,-4.49
KKSG18,19.40,-1.0,dEn,H,13.6,9.27,,,-2.81,-2.83
dw1006-0730,21.70,-1.0,Sph,L,18.8,7.49,,,,-3.78
dw1006-0732,21.40,-1.0,Sph,L,19.6,7.23,,,,-3.63
KDG064,24.10,-3.0,Tr,L,15.5,7.99,,,-4.44,-5.51
UGC05456,15.30,9.0,Im,N,13.8,8.71,8.66,8.26,-1.26,-1.16
KKH58,16.40,8.0,,,15.6,8.67,9.11,8.47,-1.11,-1.20
AGC208477,19.60,9.0,BCD,N,18.4,6.95,5.87,6.94,,-2.95
PGC1099440,17.40,9.0,BCD,H,15.8,8.04,8.85,7.69,,-1.96
SexA,12.90,10.0,Ir,N,11.9,7.57,8.44,7.90,-2.33,-1.92
KUG1013+414,18.30,8.0,,,15.4,8.32,,,,-2.37
LVJ1017+2922,,9.0,BCD,N,16.6,7.71,8.29,7.35,-2.92,
NGC3184,12.50,6.0,,,10.4,10.52,10.8,9.28,-0.02,-0.05
PGC30114,16.20,8.0,,,15.7,8.19,,,-1.45,-1.58
UGC05571,17.20,9.0,Im,L,16.5,7.49,8.17,8.09,-2.57,-2.24
HIJASSJ1021+6842,,11.0,Ir,X,,,,7.51,-4.13,
HS117,21.70,10.0,Tr,L,16.9,6.89,6.25,5.01,-4.82,-4.32
LVJ1021+0054,18.50,10.0,Ir,N,17.5,7.21,7.78,7.33,-2.81,-2.58
LeoP,,10.0,Ir,N,17.2,5.89,5.37,5.73,-4.27,
AGC731448,18.50,9.0,BCD,N,16.6,7.66,7.71,7.35,,-2.51
NGC3239,13.10,8.0,,,11.7,9.74,10.12,9.11,-0.23,-0.18
DDO078,21.90,-3.0,Sph,L,14.3,8.37,,,-5.07,-4.82
UGC05672,17.40,8.0,,,14.7,8.63,9.11,8.14,-2.14,-2.16
IC2574,12.40,8.0,,,11.5,9.06,9.65,9.04,-1.00,-0.80
LVJ1028+4240,18.10,10.0,Ir,N,17.4,7.33,,,-3.12,-2.41
[CKT2009]d1028+70,18.20,10.0,BCD,N,16.2,7.01,6.08,6.12,-3.64,-3.21
AGC749315,20.00,9.0,BCD,N,19.1,6.6,7.01,6.86,-4.04,-3.17
DDO082,16.80,9.0,Im,N,13.5,8.39,7.28,6.46,-2.56,-2.60
LVJ1030+0607,18.40,10.0,Ir,N,16.8,7.36,6.94,7.16,-3.22,-2.73
AGC731457,18.10,10.0,Ir,N,16.8,7.62,7.5,7.21,-2.68,-2.32
NGC3274,14.50,7.0,,,13.2,8.83,9.6,8.76,-1.06,-0.94
AGC202248,19.20,10.0,Ir,N,17.5,7.98,8.56,7.84,,-2.13
PGC2277751,19.30,9.0,BCD,N,17.4,7.45,,,-3.45,-2.75
ESO501-023,14.70,8.0,,,13.2,9.2,9.38,8.86,,-0.87
LeG03,,8.0,,,17.3,8.16,8.81,8.34,-3.04,
KUG1033+366B,18.50,9.0,Im,N,17.0,7.64,,,-2.45,-2.41
